topic_id,size,top_words
0,37,"live, amazon live, amazon, jan, live jan, amazon live jan, page, live jan amazon, jan amazon, jan amazon live"
1,64,"amazon, fake amazon, fake, amazon fake, fake amazon fake, amazon fake amazon, ftc, advertiser, verified, fake amazon amazon"
2,173,"techsupport techsupport techsupport, techsupport techsupport, techsupport, people, callback techsupport, callback techsupport techsupport, techsupport techsupport callback, techsupport callback, techsupport callback techsupport, techsupport techsupport tech"
3,78,"microsoft, fake microsoft, pop, fake microsoft pop, microsoft pop, fake, pop fake, apple, microsoft pop fake, pop fake microsoft"
4,63,"norton, nortonrefund, chase, norton norton, invoice, norton antivirus, antivirus, nortonrefund norton, lifelock, norton lifelock"
5,39,"pch, pch pch, clearinghouse, pch pch pch, publishers clearinghouse, publishers, good day, publisher, publisher clearinghouse, jamaican"
6,37,"paypal, invoice, fake, fake paypal, poster, did, receive, numberguru, did receive, fake invoice"
7,44,"paypal, paypal paypal, paypal support, paypal support paypal, support paypal, paypal bc, bc, uk, btc, sent"
8,37,"carrier, amazon carrier, fake amazon carrier, fake amazon, reports carrier, reports, carrier fake amazon, carrier fake, amazon, fake"
9,72,"crypto, community, pharmacy, medicare, called, crypto community, ssa, facebook, community crypto, cvs"
10,48,"techsupport, crypto techsupport, crypto, techsupport active, active, fraud, techsupport fraud, support, crypto techsupport active, techsupport active techsupport"
